time10,energy11,x13,y14,z15,coincidence22
1.39458730836681603869592e-05,2.675e-01,1.171e+02,-6.176e+01,-4.820e+01,Compton
1.39458999308840357118271e-05,0.000e+00,1.107e+02,-6.587e+01,-5.072e+01,RayleighScattering
1.39459085566032558870572e-05,1.428e-02,1.086e+02,-6.722e+01,-5.151e+01,Compton
1.39459172026185967356148e-05,2.295e-01,1.062e+02,-6.730e+01,-5.248e+01,PhotoElectric
1.40991347868414611781010e-05,4.321e-01,-1.048e+02,3.714e+00,3.759e+00,PhotoElectric
1.46151146199889895633704e-05,1.940e-01,-1.099e+02,-7.045e+01,-1.462e-01,PhotoElectric
1.53300191287942387692849e-05,0.000e+00,1.000e+02,-4.865e+01,-3.663e+01,RayleighScattering
1.53300221171592195880656e-05,1.383e-01,1.007e+02,-4.924e+01,-3.683e+01,PhotoElectric
1.55871986025398211227547e-05,1.933e-01,-1.210e+02,3.723e+01,-7.165e+00,Compton
1.55872021072504250195374e-05,1.985e-01,-1.205e+02,3.691e+01,-6.307e+00,PhotoElectric
1.57659783827134304906407e-05,2.433e-01,1.017e+02,7.513e+01,1.630e+01,Compton
1.57659795360294663715307e-05,1.767e-02,1.016e+02,7.543e+01,1.625e+01,Compton
1.60177106099924217261655e-05,2.553e-01,1.363e+02,6.894e+01,7.260e+01,Compton
1.60177285499393198158532e-05,0.000e+00,1.372e+02,6.396e+01,7.442e+01,RayleighScattering
1.61244941445650458188878e-05,2.582e-01,1.157e+02,7.042e+01,4.612e+01,Compton
1.61245590708829993726540e-05,0.000e+00,1.151e+02,5.872e+01,6.166e+01,RayleighScattering
1.61245608666936105911761e-05,2.538e-01,1.150e+02,5.843e+01,6.211e+01,PhotoElectric
1.65221568769488927081596e-05,1.890e-01,1.074e+02,8.574e+01,4.955e+00,Compton
1.65221578711974096396239e-05,1.090e-01,1.076e+02,8.561e+01,4.947e+00,Compton
1.65229738074035014956231e-05,9.848e-02,1.011e+02,4.844e+01,-5.464e+01,PhotoElectric
1.65221866833079473460208e-05,2.540e-02,1.000e+02,-3.459e+01,2.662e+01,PhotoElectric
1.66810239354999020541803e-05,2.423e-04,-1.001e+02,1.535e+00,5.241e+01,Compton
1.66810275398403982320249e-05,0.000e+00,-1.008e+02,1.399e+00,5.320e+01,RayleighScattering
1.66810315761099230862964e-05,1.167e-01,-1.002e+02,1.276e+00,5.424e+01,PhotoElectric
1.67685520659320275421288e-05,5.114e-01,-1.001e+02,-6.657e+01,-5.701e+01,PhotoElectric
1.67685532526975300353627e-05,2.080e-01,1.099e+02,-3.959e+01,-5.863e+01,Compton
1.67685546067242061086741e-05,1.034e-01,1.101e+02,-3.995e+01,-5.867e+01,Compton
1.67685600085512393419510e-05,1.992e-01,1.116e+02,-3.944e+01,-5.873e+01,PhotoElectric
1.75327547214820545504535e-05,2.550e-01,-1.059e+02,-5.044e+00,4.440e+01,Compton
1.75327595563582774829906e-05,5.390e-02,-1.057e+02,-6.462e+00,4.418e+01,Compton
1.75327673684451449092735e-05,2.033e-01,-1.073e+02,-7.662e+00,4.304e+01,PhotoElectric
1.75411024633704945476908e-05,1.057e-01,-1.090e+02,-4.678e+01,-5.709e+01,Compton
1.75411046697782059772350e-05,1.050e-01,-1.093e+02,-4.736e+01,-5.731e+01,Compton
1.75411153518183820176034e-05,8.320e-02,-1.081e+02,-4.892e+01,-5.987e+01,Compton
1.75411558759880546157391e-05,0.000e+00,-1.013e+02,-4.157e+01,-6.664e+01,RayleighScattering
1.75411583944415958946726e-05,2.179e-01,-1.011e+02,-4.122e+01,-6.731e+01,PhotoElectric
1.75918274451146723733226e-05,8.891e-03,1.034e+02,-2.904e+01,-3.497e+01,Compton
1.75918726731773851620824e-05,3.196e-01,1.123e+02,-2.895e+01,-4.525e+01,Compton
1.78927878938530901271192e-05,2.803e-01,-1.062e+02,-7.191e+01,-1.486e+01,Compton
1.78928164834016517961701e-05,2.294e-01,-1.082e+02,-6.928e+01,-2.276e+01,PhotoElectric
1.85848371021103908823716e-05,3.431e-03,-1.178e+02,2.922e+01,-2.326e+01,Compton
1.85848645099152305756526e-05,2.540e-01,1.273e+02,-4.987e+01,2.244e+01,Compton
1.85849773751620692997799e-05,5.406e-02,1.356e+02,-4.299e+01,-9.621e+00,Compton
1.85849855718876822764131e-05,2.017e-01,1.376e+02,-4.411e+01,-1.055e+01,PhotoElectric
1.93444903754583959741044e-05,1.079e-01,-1.024e+02,-6.183e+01,2.561e+01,Compton
1.93444968895809232259028e-05,1.691e-01,-1.027e+02,-6.371e+01,2.602e+01,Compton
1.93445159483427856275933e-05,1.981e-01,-1.068e+02,-6.126e+01,2.924e+01,PhotoElectric
1.93447357816491090191664e-05,3.135e-01,1.348e+02,1.508e+01,-2.375e+01,Compton
1.93447415366846460927502e-05,1.403e-02,1.341e+02,1.409e+01,-2.252e+01,Compton
1.93447440508423411950709e-05,7.099e-02,1.338e+02,1.411e+01,-2.187e+01,Compton
1.93447444192071477619098e-05,1.115e-01,1.338e+02,1.416e+01,-2.197e+01,PhotoElectric
1.99351732564762448255292e-05,1.047e-01,1.004e+02,-4.019e+01,-7.453e+01,PhotoElectric
2.08109722501033043691541e-05,2.507e-01,1.056e+02,5.910e+00,-1.861e+01,Compton
2.08109809963277555687651e-05,2.578e-01,1.059e+02,6.110e+00,-1.601e+01,PhotoElectric
2.08338394565788024822076e-05,1.125e-01,-1.137e+02,9.115e+01,-6.739e+01,Compton
2.12019676949346741262007e-05,1.112e-01,1.235e+02,-2.240e+01,-4.047e+01,Compton
2.12020188691973978333243e-05,6.243e-02,1.263e+02,-2.637e+01,-5.502e+01,Compton
2.17217718984336576179203e-05,2.848e-01,-1.118e+02,-1.905e+01,5.018e+01,Compton
2.17218222880246390022688e-05,0.000e+00,-1.088e+02,-1.296e+01,3.668e+01,RayleighScattering
2.17218222910541302651550e-05,2.274e-01,-1.088e+02,-1.296e+01,3.668e+01,PhotoElectric
2.17729618141914772234957e-05,2.988e-01,1.001e+02,5.755e+01,-6.776e+01,Compton
2.21020269021574725998910e-05,2.089e-01,-1.020e+02,-8.494e+01,-7.077e+01,Compton
2.21020333855079671161667e-05,5.521e-02,-1.019e+02,-8.687e+01,-7.053e+01,Compton
2.22339682850459059097314e-05,5.511e-02,1.020e+02,7.956e+01,7.602e+01,Compton
